CID,CanonicalSMILES,XLogP,ExactMass,TPSA,HBondDonorCount,HBondAcceptorCount
17241612,COCCOC1=CC2=C(C=C1)NC(C3C2C=CC3)C4=CC=CC=C4[N+](=O)[O-],4.0,366.15795719,76.3,1,5
115640618,C1COCCC1C(CNCC2=CC=CO2)O,0.4,225.13649347,54.6,2,4
82049858,CC1=CC(=C(C(=C1)C)C(CC(C)C)(CC(=O)O)O)C,3.2,264.17254462,57.5,2,3
12509756,CC(CC(=O)CCC(=O)C)OCC=C,0.4,198.125594432,43.4,0,3
137148401,CCCCC(CC)COCC1=C(C(=CC(=C1)C)N=NC2=CC=CC=C2N)O,5.8,369.24162724,80.2,2,5
21449099,CC12CCC(=O)C(=C1CCC2OC(C)(C)C)CC(C3=CC(=CC=C3)OC)(OC)OC,3.5,416.25627424,54.0,0,5
13691578,CC1(CCCC(C1=O)CC2CCCC(C2=O)(C)C)C,3.9,264.208930132,34.1,0,2
69844745,CCC=CCC1C(OC2(CC13C(CNC3=CC2=O)O)O)CC(=O)C(CCCCCCCC(=O)O)O,1.9,493.2675672,153.0,5,9
285607,CC(C)(CN(C)C(=O)C1=CC=CC=C1)C=O,1.7,219.125928785,37.4,0,2
3300168,CCC1=CC=C(C=C1)C2(CC(N(C3=CC=CC=C32)CC4=CC=C(C=C4)[N+](=O)[O-])(C)C)C,7.2,414.230728204,49.1,0,3
83916250,C1CC1C2=CN3C(=CN=C3N=C2)C(=O)O,1.9,203.069476538,67.5,1,4
15085081,CCCCC1=NN=C(C=C1)C2=CC=C(C=C2)CCC3CCC(CC3)CC,7.6,350.272199093,25.8,0,2
131865218,C1=CC=C(C=C1)CCNC2=NC(=NC(=N2)N)C(=O)O,1.8,259.10692467,114.0,3,7
1712309,CCCCOC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C(=O)O,3.5,313.13140809,75.6,2,4
63508788,CCCCC(CC)(CC1CCCC1)CNCC(C)C,6.7,267.292600184,12.0,1,1
116986269,C1COC2=C(C3=C(C=C21)OCC3)C4=CC=C(C=C4)CN,2.4,267.125928785,44.5,1,3
89472721,COC1CC=C(C=C1O)C=CC2=CC=CC(=C2)C=CC3CC(=C(C=C3)OC)O,4.2,378.18310931,58.9,2,4
124193992,C(C1C(C(C(O1)CO)O)O)O,-1.5,164.06847348,90.2,4,5
92104362,COC1=CC(=CC(=C1OC)OC)NC(=O)C2=CC(=NC=N2)N3CCCC3,2.2,358.1641052,85.8,1,7
89921428,CC(C1=CC=CC2=CC=CC=C21)NCC3CN(C4=CC=CC=C4O3)C5=CC=C(C=C5)C(=O)O,3.4,438.1943427,61.8,2,5
114746150,CC1=C(OC=C1)C(C2=CC=CC3=C2OCCC3)N,2.3,243.125928785,48.4,1,3
87526932,C1C(O1)COC(C2=CC=CC=C2)OCC3CO3,0.9,236.10485899,43.5,0,4
9169574,CCN(CC)C1CNCC2=C1C=C(C=C2)OCC,2.0,248.188863393,24.5,1,3
